,product_link,product_name,product_price,Capacity (kg),Net Weight (kg),Dimensions (W x D x H - mm),Warranty,Included Components,Net Quantity,Energy Rating* (As per BEE Energy Rating),Water Consumption (L/kg/cycle),Energy Consumption (kWh/kg/cycle),Body Color,Top Panel Colour,Inner Tub,Controller Type,Heater,Power Steam®,Aqua Energie,Triadic Pulsator,Bi-axial Movement,Wash System,Crescent Moon Drum,Smart Sense,Lint Tower Filter,Program Memory Backup,Machine Mobility,Delay Start,Spray Rinse,Child  Lock,Auto Imbalance System,High low voltage protection,StainFighter™,Tub Clean,Jeans,Delicates,Power Wash,Quick/Express Wash,Hot Wash Temperature Selection (°C),Water Inlet Selection/Temperature (°C),Water Level Selection,Wash Time Selection (mins),Soak Time Selection (mins),Rinse Time Selection (mins),Spin Time Selection (mins),Air Dry Time Selection (mins),Spray Rinse Time Selection (mins),Water Supply (Bar),"Power Supply (V, Phases, Hz, A)",Manufacturer's Details,Packer's Details,Country Of Origin,Wash,Rinse,Spin,Auto Tub Clean,Hygiene,Aqua Conserve,Program Selector Knob,Soft Close Door,Hygiene/Anti-allergen,Baby Wear,Blanket,Favourite,Hygiene Plus,Machine Level Indicator
0,https://www.ifbappliances.com/products/laundry/washing-machine/top-loader/tl-rpss-7-kg-aqua,TL - RPSS 7 kg Aqua,No,7,37,570 x 590 x 950,4 Years Super Warranty + 10 Years Spare Parts Support + 10 Years Motor Warranty,"User manual + Warranty card, washing machine, Hose drain, hose inlet, back cove",1 Unit,5,18,0.013,Light Grey,Glass Transparent,Stainless Steel,Membrane with Tactile Switch,Yes,Yes,Yes,Yes,Yes,3D,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Mix/Daily,Express 30,"40, 60, Steam",Cold,8,3 - 20,38/48/58,1 - 5,1 - 9,120,1 - 5,0.3 - 10 ,"220 - 240, Single Phase, 50, 16","IFB Industries Limited, L1 Verna, Goa, India - 403722","IFB Industries Limited, L1 Verna, Goa, India - 403722",India,No,No,No,No,No,No,No,No,No,No,No,No,No,No
1,https://www.ifbappliances.com/products/laundry/washing-machine/top-loader/tl-resh-7-kg-aqua,TL - RESH 7 kg Aqua,No,7,35,570 x 590 x 950,4 Years Super Warranty + 10 Years Spare Parts Support + 10 Years Motor Warranty,"User manual + Warranty card, washing machine, Hose drain, hose inlet, back cover ",1 Unit,5,18,0.013,Light Grey,Tempered Glass,Stainless Steel,Membrane with Tactile Switch,Yes,No,Yes,Yes,Yes,3D,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,"40, 60",Cold,4,No,No,No,No,No,No,0.3 - 10,"220 - 240, Single Phase, 50, 16","IFB Industries Limited, L1 Verna, Goa, India - 403722","IFB Industries Limited, L1 Verna, Goa, India - 403722",India,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No
2,https://www.ifbappliances.com/products/laundry/washing-machine/top-loader/tl-regs-7kg,TL - REGS 7 kg Aqua ,"₹21,915",7,35,570 x 590 x 950,4 Years Super Warranty + 10 Years Spare Parts Support + 10 Years Motor Warranty,4 Years Super Warranty + 10 Years Spare Parts Support + 10 Years Motor Warranty,1 Unit,5,16,0.013,Medium Grey,Glass Transparent,Stainless Steel,Button with Tack Switch & Knob Selector,Yes,Yes,Yes,Yes,Yes,3D,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Hot / Steam,Cold,4,No,No,No,No,No,No,0.3 - 10 ,"220 - 240, Single Phase, 50, 16","IFB Industries Limited, L1 Verna, Goa, India - 403722","IFB Industries Limited, L1 Verna, Goa, India - 403722",India,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No
3,https://www.ifbappliances.com/products/laundry/washing-machine/top-loader/tl-ress-7-kg-aqua,TL - RESS 7 kg Aqua,No,7,35,570 x 590 x 950, 4 Years Super Warranty + 10 Years Spare Parts Support + 10 Years Motor Warranty ,"User manual +  Warranty card, washing machine, Hose drain, hose inlet, back cover",1 Unit,5,18,0.013,Light Grey,ABS Tinted Black,Stainless Steel,Membrane with Tactile Switch,Yes,Yes,Yes,Yes,Yes,3D,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Mix/Daily,Express 30,Hot / Steam,Cold,4,No,No,No,No,No,No,0.3 - 10 ,"220 - 240, Single Phase, 50, 16","IFB Industries Limited, L1 Verna, Goa, India - 403722","IFB Industries Limited, L1 Verna, Goa, India - 403722",India,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No
4,https://www.ifbappliances.com/products/laundry/washing-machine/top-loader/tl-reg-7-kg-aqua,TL - REG 7 kg Aqua,No,7,35,570 x 590 x 950,4 Years Super Warranty + 10 Years Spare Parts Support + 10 Years Motor Warranty,"User manual + Warranty card, washing machine, Hose drain, hose inlet, back cover ",1 Unit,5,18,0.013,Medium Grey,ABS Tinted Black,Stainless Steel,Membrane with Tactile Switch,No,No,Yes,Yes,Yes,3D,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,No,Cold,4,No,No,No,No,No,No,0.3 - 10 ,"220 - 240, Single Phase, 50, 6","IFB Industries Limited, L1 Verna, Goa, India - 403722","IFB Industries Limited, L1 Verna, Goa, India - 403722",India,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No
5,https://www.ifbappliances.com/products/laundry/washing-machine/top-loader/tl-rgs-7kg-aqua-720-rpm,TL - RGS 7 kg Aqua,"₹24,165",7,37,570 x 590 x 950,4 Years Super Warranty + 10 Years Spare Parts Support + 10 Years Motor Warranty,"User manual +  Warranty card, washing machine, Hose drain, hose inlet, back cover",1 Unit,5,17,0.013,Medium Grey ,Molded - Medium Grey,Stainless Steel,Membrane with Tactile Switch,No,No,Yes,Yes,Yes,3D,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Cold,8,3 - 20,38/48/58,1 ~ 5,1 ~ 9,60 ~ 120,1 ~ 5,0.3 - 10 ,"220 - 240, Single Phase, 50, 16","IFB Industries Limited, L1 Verna, Goa, India - 403722","IFB Industries Limited, L1 Verna, Goa, India - 403722",India,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No
6,https://www.ifbappliances.com/products/laundry/washing-machine/top-loader/tl-spgs-7-kg-aqua,TL - SPGS 7 kg Aqua,"₹26,569",7,37,570 x 590 x 920,4 Years Super Warranty + 10 Years Spare Parts Support + 10 Years Motor Warranty,"User manual + Warranty card, washing machine, Hose drain, hose inlet, back cove",1 Unit,5,18,0.013,Medium Grey,Glass Tinted Parisol Grey ,Stainless Steel,Membrane with Tactile Switch,Yes,Yes,Yes,Yes,Yes,3D,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Mix/Daily,Express 30,"40, 60, Steam",Cold,10,3 - 20,38/48/58,1 - 5,1 - 9,120,1 - 5,0.3 - 10 ,"220 - 240, Single Phase, 50, 16","IFB Industries Limited, L1 Verna, Goa, India - 403722","IFB Industries Limited, L1 Verna, Goa, India - 403722",India,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,My Cycle,No,No
7,https://www.ifbappliances.com/products/laundry/washing-machine/top-loader/tl-sgh,TL - SGH 7 kg Aqua,"₹25,821",7,37,570 x 590 x 920,4 Years Super Warranty + 10 Years Spare Parts Support + 10 Years Motor Warranty,No,No,5,8.9,0.089,Medium Grey,Tempered Glass,No,Membrane with Tactile Switch,No,No,Yes,Yes,Yes,3D,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,"30, 40, 60",Cold,8,3 - 20,38/48/58,1 - 5,1 - 9,120,1 - 5,0.3 - 10 ,"220 - 240, Single Phase, 50, 16","IFB Industries Limited, L1 Verna, Goa, India - 403722","IFB Industries Limited, L1 Verna, Goa, India - 403722",India,No,No,No,Yes,No,No,No,No,No,No,Yes,No,Yes,No
8,https://www.ifbappliances.com/products/laundry/washing-machine/top-loader/tl-sds-7kg-aqua-720-rpm,TL - SDS 7 kg Aqua,"₹25,155",7,37,570 x 590 x 920,4 Years Super Warranty + 10 Years Spare Parts Support + 10 Years Motor Warranty,"User manual +  Warranty card, washing machine, Hose drain, hose inlet, back cover",1 Unit,5,17,0.013,Light Grey,Black,Stainless Steel,Membrane with Tactile Switch,No,No,Yes,Yes,Yes,3D,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Cold,10,3 - 20,38/48/58,1 - 5,1 - 9,60 - 120,1 - 5,0.3 - 10 ,"220 - 240, Single Phase, 50, 16","IFB Industries Limited, L1 Verna, Goa, India - 403722","IFB Industries Limited, L1 Verna, Goa, India - 403722",India,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,Yes,No,Yes,Yes
9,https://www.ifbappliances.com/products/laundry/washing-machine/top-loader/tl-res-7-kg-aqua,TL - RES 7 kg Aqua,No,7,35,570 x 590 x 950, 4 Years Super Warranty + 10 Years Spare Parts Support + 10 Years Motor Warranty ,"User manual +  Warranty card, washing machine, Hose drain, hose inlet, back cover",1 Unit,5,18,0.013,Light Grey,ABS Tinted Black,Stainless Steel,Membrane with Tactile Switch,No,No,Yes,Yes,Yes,3D,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,No,Cold,4,No,No,No,No,No,No,0.3 - 10 ,"220 - 240, Single Phase, 50, 6","IFB Industries Limited, L1 Verna, Goa, India - 403722","IFB Industries Limited, L1 Verna, Goa, India - 403722",India,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,Yes
10,https://www.ifbappliances.com/products/laundry/washing-machine/top-loader/tl-r1wh-7-0-kg-aqua,TL R1WH 7 Kg Aqua,No,7,35,570 x 590 x 950,4 Years Super Warranty + 10 Years Spare Parts Support + 10 Years Motor Warranty,"User manual + Warranty card, washing machine, Hose drain, hose inlet, back cover",1 Unit,5,8.9,0.089,White,ABS Tinted Black,Stainless Steel,Membrane with Tactile Switch,No,No,Yes,Yes,Yes,3D,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,No,Cold,4,No,No,No,No,No,No,0.3 - 10 ,"220-240, Single Phase, 50, 16","IFB Industries Limited, L1 Verna, Goa, India - 403722","IFB Industries Limited, L1 Verna, Goa, India - 403722",India,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No
11,https://www.ifbappliances.com/products/laundry/washing-machine/top-loader/tl-r1brs-7-kg-aqua,TL - R1BRS 7 Kg Aqua,No,7,35,570 x 590 x 950,4 Years Super Warranty + 10 Years Spare Parts Support + 10 Years Motor Warranty,"User manual + Warranty card, washing machine, Hose drain, hose inlet, back cover",1 Unit,5,8.9,0.089,Brown,Glass Transparent,Stainless Steel,Membrane with Tactile Switch,Yes,Yes,Yes,Yes,Yes,3D,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Mix/Daily,Express 30,Hot / Steam,Cold,4,No,No,No,No,No,No,0.3 - 10 ,"220-240, Single Phase, 50, 16","IFB Industries Limited, L1 Verna, Goa, India - 403722","IFB Industries Limited, L1 Verna, Goa, India - 403722",India,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No
12,https://www.ifbappliances.com/products/laundry/washing-machine/top-loader/tl-rcgh,TL - RCGH 7 kg Aqua,"₹24,741",7,37,570 x 590 x 950,4 Years Super Warranty + 10 Years Spare Parts Support + 10 Years Motor Warranty,"User manual +  Warranty card, washing machine, Hose drain, hose inlet, back cover",1 Unit,5,8.9,0.089,Medium Grey,Tempered Glass with Chrome Ring,No,Button with Tack Switch & Knob Selector,No,No,Yes,Yes,Yes,3D,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,"30, 40, 60",Cold,8,3 - 20,No,1 - 5,1 - 9,60 - 120,No,0.3 - 10 ,"220 - 240, Single Phase, 50, 16","IFB Industries Limited, L1 Verna, Goa, India - 403722","IFB Industries Limited, L1 Verna, Goa, India - 403722",India,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No
